🌙月光宝盒,#genre#
东方卫视,http://125.70.163.227:8888/udp/239.93.0.123:5140

北京卫视,http://125.70.163.227:8888/udp/239.93.0.180:5140

深圳卫视,http://125.70.163.227:8888/udp/239.93.0.182:5140

广东卫视,http://125.70.163.227:8888/udp/239.93.0.181:5140

天津卫视,http://125.70.163.227:8888/udp/239.93.0.167:5140

山东卫视,http://125.70.163.227:8888/udp/239.93.0.168:5140

SCTV2,http://125.70.163.227:8888/udp/239.93.1.101:5140

SCTV3,http://125.70.163.227:8888/udp/239.93.1.102:5140

SCTV4,http://125.70.163.227:8888/udp/239.93.0.47:5140

SCTV5,http://125.70.163.227:8888/udp/239.93.0.166:5140

SCTV6,http://125.70.163.227:8888/udp/239.93.1.144:5140

SCTV7,http://125.70.163.227:8888/udp/239.93.0.219:5140

SCTV科教,http://125.70.163.227:8888/udp/239.93.42.44:5140

四川乡村,http://125.70.163.227:8888/udp/239.93.0.52:5140

峨眉电影,http://125.70.163.227:8888/udp/239.93.1.54:5140

康巴卫视,http://125.70.163.227:8888/udp/239.93.0.41:5140

江西卫视,http://125.70.163.227:8888/udp/239.93.0.134:5140

东南卫视 ,http://125.70.163.227:8888/udp/239.93.0.42:5140

黑龙江卫视,http://125.70.163.227:8888/udp/239.93.0.183:5140

重庆卫视,http://125.70.163.227:8888/udp/239.93.1.107:5140

贵州卫视,http://125.70.163.227:8888/udp/239.93.0.131:5140

湖北卫视,http://125.70.163.227:8888/udp/239.93.0.250:5140

安徽卫视,http://125.70.163.227:8888/udp/239.93.1.106:5140

河北卫视,http://125.70.163.227:8888/udp/239.93.0.132:5140

辽宁卫视,http://125.70.163.227:8888/udp/239.93.1.108:5140

河南卫视,http://125.70.163.227:8888/udp/239.93.42.45:5140

广西卫视,http://125.70.163.227:8888/udp/239.93.42.46:5140

云南卫视,http://125.70.163.227:8888/udp/239.93.0.174:5140

吉林卫视,http://125.70.163.227:8888/udp/239.93.0.248:5140

陕西卫视,http://125.70.163.227:8888/udp/239.93.0.176:5140

山西卫视,http://125.70.163.227:8888/udp/239.93.0.6:5140

内蒙古卫视,http://125.70.163.227:8888/udp/239.93.0.8:5140

青海卫视,http://125.70.163.227:8888/udp/239.93.0.192:5140

宁夏卫视,http://125.70.163.227:8888/udp/239.93.0.247:5140

西藏卫视,http://125.70.163.227:8888/udp/239.93.0.175:5140

新疆卫视,http://125.70.163.227:8888/udp/239.93.0.194:5140

甘肃卫视,http://125.70.163.227:8888/udp/239.93.0.81:5140

海南卫视,http://125.70.163.227:8888/udp/239.93.0.80:5140

陕西农林,http://125.70.163.227:8888/udp/239.93.0.100:5140

兵团卫视,http://125.70.163.227:8888/udp/239.93.42.43:5140

峨眉电影,http://125.70.163.227:8888/udp/239.93.0.252:5140

厦门卫视,http://125.70.163.227:8888/udp/239.93.42.57:5140

三沙卫视,http://125.70.163.227:8888/udp/239.93.42.58:5140

CDTV1,http://125.70.163.227:8888udp/239.93.0.16:5140

CDTV2,http://125.70.163.227:8888/udp/239.93.0.17:1239

CDTV3,http://125.70.163.227:8888/udp/239.93.0.18:1238

CDTV4,http://125.70.163.227:8888/udp/239.93.0.19:1250

CDTV5,http://125.70.163.227:8888/udp/239.93.1.231:5140

CDTV6,http://125.70.163.227:8888/udp/239.93.0.21:1251

CDTV8,http://125.70.163.227:8888/udp/239.93.0.22:1252

成都体育,http://125.70.163.227:8888udp/239.93.0.224:1281

上海纪实,http://125.70.163.227:8888/udp/239.93.1.137:5140

金鹰纪实,http://125.70.163.227:8888/udp/239.93.0.130:5140

交通四川,http://125.70.163.227:8888/udp/239.93.0.142:5140

CETV-1,http://125.70.163.227:8888/udp/239.93.1.111:5140

熊猫新闻,http://125.70.163.227:8888/udp/239.93.1.112:5140

熊猫体娱,http://125.70.163.227:8888/udp/239.93.0.94:5140

熊猫少儿,http://125.70.163.227:8888/udp/239.93.1.189:5140

熊猫影院,http://125.70.163.227:8888/udp/239.93.0.214:5140

